fertility,
X,Y
0.010366118217430775,-0.0007096737872611669
0.02741573113901613,0.00038886529011072923
0.044464376355283136,0.00041228375881430246
0.06151302157155017,0.00043570222751809773
0.07856176355834901,0.0005666327570885699
0.09561408605482569,0.004675509538731415
0.1126688278145982,0.011472187842044512
0.12972521467341186,0.02009657118009356
0.14678208538488474,0.0292585148224771
0.16384611711571323,0.04637635096900494
0.18091043915813726,0.06381672329813326
0.19797824493970728,0.08512752981846705
0.21504788936138208,0.10848106549527015
0.23134631135255812,0.13596199983350932
0.2460930157153306,0.16139568690667017
0.26006449779895513,0.1865129407921049
0.2732597552220062,0.2102001157260014
0.28568351898826216,0.23771335690629303
0.298104754624374,0.262417845496439
0.31052798615270494,0.2893397703419629
0.32295214909740483,0.3172964987733301
0.335375513685217,0.34436625270254606
0.3477999427488794,0.3726186393012969
0.3602234403961728,0.3998362223142048
0.37187099217418695,0.42593346350330963
0.3835184299012171,0.45190399404924997
0.3951656775432738,0.4776633401899163
0.40681341940626115,0.5039717657842953
0.41923425586392926,0.5282327671233656
0.4308812754040182,0.5537386919777029
0.44330408029718693,0.5801866251580562
0.45650208761618427,0.6069289344882514
0.46970000622886066,0.6335726910959855
0.48367219796305194,0.6594783667611102
0.49841872491318273,0.6847149483893487
0.5131663399941826,0.7111604434131118
0.5279132217695968,0.7367912359311953
0.543435195721555,0.7625939176440617
0.5597296210897662,0.7856346038685011
0.5768007170694186,0.8106008204583066
0.593869490556307,0.8329867475873087
0.6109381672726635,0.8552651626554437
0.6280049085783833,0.8753933365062425
0.6450699080145301,0.8935862932614385
0.6621349074506769,0.9117792500166346
0.6791971005414007,0.9268543570066927
0.6962593904026562,0.9420369760576179
0.7133199383943387,0.9552843780129403
0.7303808734681486,0.9689618282117299
0.7474376474090896,0.9780162597932464
0.7644972276954537,0.9901885411399005
0.781553904865863,0.9991354606605501
0.7986098078720174,1.0072222836942653
0.8156660011897675,1.0156316429105807
0.832721323572731,1.0230733935790948
0.8497752911682489,1.0290099753954736
0.8668292587637668,1.0349465572118524
0.8838835166708802,1.0412056752108314
0.9009368068726752,1.0463896726011424
0.9179882584343652,1.0495309408349838
0.9350408712424373,1.053962353799227
0.9520918389514684,1.0565660617287342
0.9691438711363495,1.0603524023277766
0.986194645304317,1.0627410861355502
0.997819592522922,1.0637246618211043
